STATE,SINGLE,ONECHILD,TWOCHILD
Alabama,23180,46234,55678
Alaska,25956,56858,67369
Arizona,23336,50808,61540
Arkansas,21597,45157,52199
California,29133,61744,72834
Colorado,25940,56648,65099
Connecticut,26785,59860,67779
Delaware,25869,54309,61144
District of Columbia,35588,62629,68272
Florida,24444,52238,59454
Georgia,24823,49914,56233
Hawaii,32016,56540,61260
Idaho,22124,49017,58297
Illinois,25999,54533,62781
Indiana,22255,47135,56046
Iowa,21910,48319,54833
Kansas,22232,48444,54453
Kentucky,21828,47142,57363
Louisiana,22700,48731,54932
Maine,24129,50349,59101
Maryland,30420,61180,69191
Massachusetts,27843,61118,68607
Michigan,22604,48084,57768
Minnesota,23973,53282,61988
Mississippi,22589,44288,48752
Missouri,22371,48781,56084
Montana,22777,50512,61496
Nebraska,22046,49164,57153
Nevada,22750,51155,60364
New Hampshire,24976,53387,60613
New Jersey,28548,59405,69251
New Mexico,22840,51230,60124
New York,29992,61794,80936
North Carolina,23624,49504,56683
North Dakota,22646,48523,56158
Ohio,21778,47030,54852
Oklahoma,21890,47806,57527
Oregon,25962,53011,64323
Pennsylvania,23113,48977,59076
Rhode Island,25159,54457,63807
South Carolina,23234,47079,52997
South Dakota,20864,45280,53336
Tennessee,21722,45586,51809
Texas,22936,48315,54774
Utah,23338,49151,60096
Vermont,25629,53917,62091
Virginia,28831,58201,65986
Washington,25546,55172,64203
West Virginia,22211,45895,54225
Wisconsin,22935,51114,59682
Wyoming,22119,49151,61108
