COUNTY,SINGLE,ONECHILD,TWOCHILD
Aleutians,24889,54173,64542
Aleutians,28978,62569,72938
Anchorage,26448,57127,67496
Bethel,28691,59465,69834
Bristol,26530,56457,66826
Denali,29812,61037,71407
Dillingham,26011,55745,66115
Fairbanks North Star,25300,56771,67140
Haines,24192,53216,63585
Hoonah-Angoon,21772,51219,61589
Juneau City,27023,59492,69861
Kenai Peninsula,26093,54665,65035
Ketchikan Gateway,25737,57455,67824
Kodiak Island,26640,54433,64802
Lake and Peninsula Borough,23249,51889,62259
Matanuska-Susitna,23331,53681,64050
Nome,28034,61078,71448
North Slope,27269,56279,66648
Northwest Arctic,28568,56703,67072
Petersburg,23508,53941,64310
Prince of Wales-Hyder,25546,53968,64337
Sitka City,26544,56921,67291
Skagway,28199,58781,69150
Southeast Fairbanks,26312,56169,66539
Valdez-Cordova,25942,55021,65390
Wade Hampton,23837,52724,63093
Wrangell City,24219,53257,63626
Yakutat City,25915,55609,65978
Yukon-Koyukuk,22442,50235,60604
