COUNTY,SINGLE,ONECHILD,TWOCHILD
Arkansas,20871,43296,50258
Ashley,20871,43296,50258
Baxter,21104,43952,50914
Benton,21828,45169,52131
Boone,20735,43460,50422
Bradley,20379,44349,51311
Calhoun,20981,43446,50408
Carroll,21610,43720,50682
Chicot,20871,43296,50258
Clark,20611,43296,50258
Clay,20611,43296,50258
Cleburne,21104,43966,50928
Cleveland,20229,43952,50914
Columbia,20871,43296,50258
Conway,21391,44349,51311
Craighead,20735,44992,51954
Crawford,21104,44226,51188
Crittenden,22991,46359,53321
Cross,21213,44103,51065
Dallas,20611,43296,50258
Desha,20611,43296,50258
Drew,20680,43392,50354
Faulkner,22307,46072,53034
Franklin,20611,43296,50258
Fulton,20611,43296,50258
Garland,21555,45402,52364
Grant,20406,43446,50408
Greene,21364,43939,50901
Hempstead,20885,43323,50285
Hot Spring,21268,43816,50778
Howard,19668,43296,50258
Independence,20611,43296,50258
Izard,20871,43296,50258
Jackson,19668,43296,50258
Jefferson,20229,43952,50914
Johnson,20885,43665,50627
Lafayette,20611,43296,50258
Lawrence,20830,43296,50258
Lee,20611,43296,50258
Lincoln,20229,43952,50914
Little River,20311,43296,50258
Logan,20981,43296,50258
Lonoke,22307,46072,53034
Madison,21828,45169,52131
Marion,20160,43296,50258
Miller,21227,44786,51749
Mississippi,20748,43487,50449
Monroe,20639,43296,50258
Montgomery,20611,43296,50258
Nevada,20652,43351,50313
Newton,20611,43296,50258
Ouachita,21268,43296,50258
Perry,22307,46072,53034
Phillips,20611,43296,50258
Pike,21268,43296,50258
Poinsett,21063,43583,50545
Polk,20611,43296,50258
Pope,21063,43761,50723
Prairie,20652,43296,50258
Pulaski,22307,46072,53034
Randolph,20611,43296,50258
Saline,22307,46072,53034
Scott,20611,43296,50258
Searcy,20871,43296,50258
Sebastian,21104,44226,51188
Sevier,20611,43296,50258
Sharp,19668,43296,50258
St. Francis,20871,43296,50258
Stone,20680,43392,50354
Union,21774,44103,51065
Van Buren,20611,43296,50258
Washington,21828,45169,52131
White,20721,43446,50408
Woodruff,20078,43296,50258
Yell,20611,43296,50258
