COUNTY,SINGLE,ONECHILD,TWOCHILD
Alameda,34269,69418,80370
Alpine,22660,51272,62225
Amador,24233,53542,64495
Butte,23617,52325,63278
Calaveras,22852,51559,62512
Colusa,21785,50944,61897
Contra Costa,34269,69418,80370
Del Norte,24698,51874,62826
El Dorado,24492,53870,64823
Fresno,23809,51833,62785
Glenn,21990,50301,61254
Humboldt,24069,53734,64686
Imperial,21785,50944,61897
Inyo,24274,51710,62662
Kern,23166,51245,62197
Kings,23111,50684,61637
Lake,22961,52216,63168
Lassen,23330,52243,63196
Los Angeles,28157,60830,71783
Madera,23768,51915,62867
Marin,40833,80972,91925
Mariposa,22824,51518,62471
Mendocino,24301,53802,64754
Merced,21785,50315,61268
Modoc,21101,49016,59969
Mono,25354,55976,66929
Monterey,27637,59080,70033
Napa,28513,61555,72508
Nevada,25997,57603,68556
Orange,31835,64495,75448
Placer,24492,53870,64823
Plumas,22510,51067,62020
Riverside,25586,56072,67024
Sacramento,24492,53870,64823
San Benito,28581,60078,71031
San Bernardino,25586,56072,67024
San Diego,31220,63510,74463
San Francisco,40833,80972,91925
San Joaquin,23084,52927,63879
San Luis Obispo,26776,57603,68556
San Mateo,40833,80972,91925
Santa Barbara,30112,60967,71920
Santa Clara,35254,70060,81013
Santa Cruz,30509,64700,75653
Shasta,23631,51901,62854
Sierra,25545,55443,66395
Siskiyou,21703,50835,61787
Solano,25997,57398,68351
Sonoma,28964,61200,72152
Stanislaus,23563,52530,63483
Sutter,23713,51819,62772
Tehama,22441,50958,61910
Trinity,22961,50821,61774
Tulare,23713,51641,62594
Tuolumne,23057,52954,63907
Ventura,29935,63798,74750
Yolo,26571,55771,66724
Yuba,23713,51819,62772
