COUNTY,SINGLE,ONECHILD,TWOCHILD
Alachua,22732,49099,56225
Baker,20722,47376,54502
Bay,23675,50070,57196
Bradford,21474,46009,53135
Brevard,21870,49181,56307
Broward,25535,54965,62091
Calhoun,21104,46009,53135
Charlotte,22814,49099,56225
Citrus,22075,47568,54694
Clay,22636,50344,57470
Collier,25152,53434,60560
Columbia,21870,47212,54338
DeSoto,21173,46296,53422
Dixie,21474,46009,53135
Duval,22636,50344,57470
Escambia,24332,49359,56485
Flagler,25726,51150,58276
Franklin,22376,47130,54256
Gadsden,23812,49632,56759
Gilchrist,22732,49099,56225
Glades,21665,47075,54201
Gulf,22909,48976,56102
Hamilton,20858,46009,53135
Hardee,21474,46009,53135
Hendry,22759,47595,54721
Hernando,23962,50959,58085
Highlands,20872,47281,54407
Hillsborough,23962,50959,58085
Holmes,21474,46009,53135
Indian River,22212,48662,55788
Jackson,21474,46009,53135
Jefferson,23812,49632,56759
Lafayette,21474,46009,53135
Lake,24673,50795,57921
Lee,23593,49674,56800
Leon,23812,49632,56759
Levy,21569,46009,53135
Liberty,21474,46009,53135
Madison,19860,46009,53135
Manatee,24714,51629,58755
Marion,22855,48306,55432
Martin,25152,51232,58358
Miami-Dade,25562,54801,61927
Monroe,28789,60093,67219
Nassau,22636,50344,57470
Okaloosa,24509,50234,57360
Okeechobee,21228,46501,53627
Orange,24673,50795,57921
Osceola,24673,50795,57921
Palm Beach,26082,55827,62953
Pasco,23962,50959,58085
Pinellas,23962,50959,58085
Polk,22896,48552,55678
Putnam,22089,46638,53764
Santa Rosa,24332,49359,56485
Sarasota,24714,51629,58755
Seminole,24673,50795,57921
St. Johns,22636,50344,57470
St. Lucie,25152,51232,58358
Sumter,21405,47130,54256
Suwannee,21474,46009,53135
Taylor,21474,46009,53135
Union,21474,46009,53135
Volusia,22513,50207,57333
Wakulla,22882,48429,55555
Walton,23525,48374,55500
Washington,20858,46009,53135
