COUNTY,SINGLE,ONECHILD,TWOCHILD
Appling,21447,45587,51842
Atkinson,21159,45587,51842
Bacon,21447,45587,51842
Baker,22992,47720,53975
Baldwin,22691,46654,52908
Banks,22048,46134,52389
Barrow,26260,50975,57229
Bartow,26260,50975,57229
Ben Hill,21159,45587,51842
Berrien,21159,45587,51842
Bibb,22677,48582,54837
Bleckley,21447,45587,51842
Brantley,23306,48445,54700
Brooks,22431,46927,53182
Bryan,24728,50072,56327
Bulloch,23265,48103,54358
Burke,22773,47625,53879
Butts,23293,48431,54686
Calhoun,21378,45874,52129
Camden,23416,48048,54303
Candler,21159,45587,51842
Carroll,26260,50975,57229
Catoosa,22759,48677,54932
Charlton,21447,45587,51842
Chatham,24728,50072,56327
Chattahoochee,23347,48062,54317
Chattooga,21159,45587,51842
Cherokee,26260,50975,57229
Clarke,23621,48582,54837
Clay,21159,45587,51842
Clayton,26260,50975,57229
Clinch,21159,45587,51842
Cobb,26260,50975,57229
Coffee,21159,45587,51842
Colquitt,21406,45587,51842
Columbia,22773,47625,53879
Cook,21802,45587,51842
Coweta,26260,50975,57229
Crawford,22677,48582,54837
Crisp,21802,45587,51842
Dade,22759,48677,54932
Dawson,26260,50975,57229
Decatur,22048,46025,52279
DeKalb,26260,50975,57229
Dodge,21351,45833,52088
Dooly,21734,45587,51842
Dougherty,22992,47720,53975
Douglas,26260,50975,57229
Early,21802,45587,51842
Echols,22431,46927,53182
Effingham,24728,50072,56327
Elbert,21159,45587,51842
Emanuel,21159,45587,51842
Evans,21583,45587,51842
Fannin,21761,45997,52252
Fayette,26260,50975,57229
Floyd,21871,46544,52799
Forsyth,26260,50975,57229
Franklin,21159,45587,51842
Fulton,26260,50975,57229
Gilmer,22035,46749,53004
Glascock,21159,45587,51842
Glynn,23306,48445,54700
Gordon,20818,46093,52348
Grady,21829,45614,51869
Greene,21214,45656,51910
Gwinnett,26260,50975,57229
Habersham,21953,46011,52266
Hall,23881,48623,54878
Hancock,21159,45587,51842
Haralson,22595,47474,53729
Harris,23347,48062,54317
Hart,21159,45587,51842
Heard,26260,50975,57229
Henry,26260,50975,57229
Houston,23881,48486,54741
Irwin,21447,45587,51842
Jackson,23005,47529,53784
Jasper,26260,50975,57229
Jeff Davis,21447,45587,51842
Jefferson,21159,45587,51842
Jenkins,21447,45587,51842
Johnson,21501,45587,51842
Jones,22677,48582,54837
Lamar,21529,46011,52266
Lanier,22431,46927,53182
Laurens,21583,45587,51842
Lee,22992,47720,53975
Liberty,24906,49771,56026
Lincoln,21406,45587,51842
Long,23142,47556,53811
Lowndes,22431,46927,53182
Lumpkin,22582,47474,53729
Macon,21159,45587,51842
Madison,23621,48582,54837
Marion,23347,48062,54317
McDuffie,22773,47625,53879
McIntosh,23306,48445,54700
Meriwether,21843,46490,52744
Miller,21802,45587,51842
Mitchell,21159,45587,51842
Monroe,22759,48144,54399
Montgomery,21802,45587,51842
Morgan,23101,47160,53414
Murray,21474,45792,52047
Muscogee,23347,48062,54317
Newton,26260,50975,57229
Oconee,23621,48582,54837
Oglethorpe,23621,48582,54837
Paulding,26260,50975,57229
Peach,20954,46708,52963
Pickens,26260,50975,57229
Pierce,21802,45587,51842
Pike,26260,50975,57229
Polk,20941,46681,52936
Pulaski,21570,45587,51842
Putnam,22582,47037,53291
Quitman,21447,45587,51842
Rabun,22322,46490,52744
Randolph,21802,46435,52690
Richmond,22773,47625,53879
Rockdale,26260,50975,57229
Schley,21159,45587,51842
Screven,21159,45587,51842
Seminole,21447,45587,51842
Spalding,26260,50975,57229
Stephens,21159,45587,51842
Stewart,21187,45587,51842
Sumter,22267,46326,52580
Talbot,23662,48418,54672
Taliaferro,23224,47871,54125
Tattnall,21802,45587,51842
Taylor,21802,45587,51842
Telfair,21159,45587,51842
Terrell,22992,47720,53975
Thomas,22226,46667,52922
Tift,21583,45943,52197
Toombs,21283,45587,51842
Towns,22554,46640,52895
Treutlen,21392,45587,51842
Troup,22664,46859,53114
Turner,21447,45587,51842
Twiggs,22677,48582,54837
Union,21337,45587,51842
Upson,22117,45956,52211
Walker,22759,48677,54932
Walton,26260,50975,57229
Ware,20284,45587,51842
Warren,21159,45587,51842
Washington,21802,45587,51842
Wayne,21159,45587,51842
Webster,21638,45833,52088
Wheeler,21447,45587,51842
White,22117,46818,53073
Whitfield,22335,46353,52608
Wilcox,21802,45587,51842
Wilkes,21378,45874,52129
Wilkinson,21447,45587,51842
Worth,22992,47720,53975
