COUNTY,SINGLE,ONECHILD,TWOCHILD
Ada,21898,49105,58277
Adams,21789,47382,56554
Bannock,20804,47382,56554
Bear Lake,21789,47382,56554
Benewah,21789,47382,56554
Bingham,21789,47382,56554
Blaine,24455,50979,60150
Boise,21898,49105,58277
Bonner,22856,48818,57989
Bonneville,21543,48216,57388
Boundary,22418,48230,57401
Butte,21502,47916,57087
Camas,21789,47382,56554
Canyon,21898,49105,58277
Caribou,21789,47382,56554
Cassia,21789,47382,56554
Clark,21789,47382,56554
Clearwater,21980,47628,56800
Custer,22377,48175,57347
Elmore,22240,47984,57155
Franklin,20914,47382,56554
Fremont,22021,47697,56868
Gem,21242,48066,57237
Gooding,21789,47382,56554
Idaho,21789,47382,56554
Jefferson,21543,48216,57388
Jerome,21912,47546,56718
Kootenai,22527,49119,58290
Latah,22035,47628,56800
Lemhi,21789,47382,56554
Lewis,21789,47382,56554
Lincoln,21789,47382,56554
Madison,22760,47587,56759
Minidoka,21789,47382,56554
Nez Perce,21310,47847,57019
Oneida,21789,47382,56554
Owyhee,21898,49105,58277
Payette,22199,47929,57101
Power,22787,48736,57907
Shoshone,21789,47382,56554
Teton,23444,49474,58646
Twin Falls,21980,47628,56800
Valley,22473,48298,57470
Washington,21789,47382,56554
