COUNTY,SINGLE,ONECHILD,TWOCHILD
Allen,21484,46142,52092
Anderson,21484,46142,52092
Atchison,22058,46936,52885
Barber,21484,46142,52092
Barton,21484,46142,52092
Bourbon,20595,46142,52092
Brown,21484,46142,52092
Butler,21320,47277,53227
Chase,21484,46142,52092
Chautauqua,22441,47455,53405
Cherokee,21484,46142,52092
Cheyenne,21484,46142,52092
Clark,21607,46320,52270
Clay,22441,47455,53405
Cloud,21484,46142,52092
Coffey,21484,46142,52092
Comanche,21484,46142,52092
Cowley,20759,46402,52352
Crawford,22236,46922,52872
Decatur,21484,46142,52092
Dickinson,20595,46142,52092
Doniphan,21497,46566,52516
Douglas,22126,48385,54335
Edwards,21484,46142,52092
Elk,21484,46142,52092
Ellis,21785,46416,52366
Ellsworth,21484,46142,52092
Finney,22400,47400,53350
Ford,21730,46689,52639
Franklin,22632,47715,53665
Geary,24246,49506,55456
Gove,21484,46142,52092
Graham,21484,46142,52092
Grant,21484,46142,52092
Gray,21484,46142,52092
Greeley,21484,46142,52092
Greenwood,21484,46142,52092
Hamilton,22837,48002,53952
Harper,21484,46142,52092
Harvey,21320,47277,53227
Haskell,23959,49534,55483
Hodgeman,21484,46142,52092
Jackson,21279,47223,53172
Jefferson,21279,47223,53172
Jewell,21484,46142,52092
Johnson,23015,49766,55716
Kearny,21484,46142,52092
Kingman,20595,46142,52092
Kiowa,20595,46142,52092
Labette,20636,46197,52147
Lane,21484,46142,52092
Leavenworth,23015,49766,55716
Lincoln,21484,46142,52092
Linn,23015,49766,55716
Logan,21484,46142,52092
Lyon,20595,46142,52092
Marion,21484,46142,52092
Marshall,21648,46142,52092
McPherson,22181,47100,53049
Meade,21484,46142,52092
Miami,23015,49766,55716
Mitchell,21484,46142,52092
Montgomery,21648,46142,52092
Morris,21484,46142,52092
Morton,21484,46142,52092
Nemaha,21484,46142,52092
Neosho,21484,46142,52092
Ness,21484,46142,52092
Norton,21484,46142,52092
Osage,21279,47223,53172
Osborne,21484,46142,52092
Ottawa,21538,46211,52161
Pawnee,21484,46142,52092
Phillips,21484,46142,52092
Pottawatomie,23261,48276,54225
Pratt,22099,46990,52940
Rawlins,21484,46142,52092
Reno,21361,47346,53295
Republic,21484,46142,52092
Rice,21484,46142,52092
Riley,23261,48276,54225
Rooks,21484,46142,52092
Rush,21484,46142,52092
Russell,21511,46183,52133
Saline,22058,47195,53145
Scott,21538,46211,52161
Sedgwick,21320,47277,53227
Seward,22017,46881,52831
Shawnee,21279,47223,53172
Sheridan,21484,46142,52092
Sherman,22263,47209,53159
Smith,21484,46142,52092
Stafford,21484,46142,52092
Stanton,21484,46142,52092
Stevens,22441,47455,53405
Sumner,20595,46142,52092
Thomas,21484,46142,52092
Trego,21484,46142,52092
Wabaunsee,21279,47223,53172
Wallace,21484,46142,52092
Washington,21484,46142,52092
Wichita,21484,46142,52092
Wilson,21484,46142,52092
Woodson,21511,46183,52133
Wyandotte,23015,49766,55716
