COUNTY,SINGLE,ONECHILD,TWOCHILD
Acadia,20000,45089,51224
Allen,21217,45089,51224
Ascension,22652,48534,54670
Assumption,21080,45335,51470
Avoyelles,19671,45143,51279
Beauregard,21217,45089,51224
Bienville,21217,45089,51224
Bossier,22844,48835,54971
Caddo,22844,48835,54971
Calcasieu,21217,47577,53712
Caldwell,21217,45089,51224
Cameron,21217,47577,53712
Catahoula,21217,45089,51224
Claiborne,20560,45089,51224
Concordia,20560,45089,51224
De Soto,22844,48835,54971
East Baton Rouge,22652,48534,54670
East Carroll,20711,45089,51224
East Feliciana,22652,48534,54670
Evangeline,20560,45089,51224
Franklin,20560,45089,51224
Grant,22529,47769,53904
Iberia,21435,46251,52386
Iberville,20847,45936,52072
Jackson,20560,45089,51224
Jefferson Davis,21217,45089,51224
Jefferson,23719,50011,56146
Lafayette,22434,48357,54492
Lafourche,23446,48712,54847
LaSalle,20629,45089,51224
Lincoln,22229,46374,52509
Livingston,22652,48534,54670
Madison,20560,45089,51224
Morehouse,21217,45089,51224
Natchitoches,21326,46114,52249
Orleans,23719,50011,56146
Ouachita,22899,47892,54027
Plaquemines,23719,50011,56146
Pointe Coupee,22652,48534,54670
Rapides,22529,47769,53904
Red River,21504,46347,52482
Richland,20560,45089,51224
Sabine,21094,45089,51224
St. Bernard,23719,50011,56146
St. Charles,23719,50011,56146
St. Helena,22652,48534,54670
St. James,20246,45089,51224
St. John the Baptist,23719,50011,56146
St. Landry,19849,45089,51224
St. Martin,22434,48357,54492
St. Mary,21463,46073,52208
St. Tammany,23719,50011,56146
Tangipahoa,22680,47618,53754
Tensas,20560,45089,51224
Terrebonne,23446,48712,54847
Union,22899,47892,54027
Vermilion,20355,45663,51798
Vernon,22393,49437,55572
Washington,20588,45116,51251
Webster,20342,45307,51443
West Baton Rouge,22652,48534,54670
West Carroll,20560,45089,51224
West Feliciana,22652,48534,54670
Winn,21217,45089,51224
