COUNTY,SINGLE,ONECHILD,TWOCHILD
Adams,22206,43896,48326
Alcorn,21317,42610,47041
Amite,21796,43308,47738
Attala,21317,42610,47041
Benton,21864,42610,47041
Bolivar,22288,42610,47041
Calhoun,21317,42610,47041
Carroll,21317,42610,47041
Chickasaw,20716,42610,47041
Choctaw,21317,42610,47041
Claiborne,21618,43048,47478
Clarke,21646,43075,47506
Clay,21317,42610,47041
Coahoma,20825,42774,47205
Copiah,22958,45003,49434
Covington,21317,42610,47041
DeSoto,23437,44716,49147
Forrest,23369,45290,49721
Franklin,21317,42610,47041
George,22206,43896,48326
Greene,22507,42610,47041
Grenada,21317,42610,47041
Hancock,23587,43923,48354
Harrison,23587,43923,48354
Hinds,22958,45003,49434
Holmes,21317,42610,47041
Humphreys,21359,42679,47109
Issaquena,21317,42610,47041
Itawamba,21317,42610,47041
Jackson,23724,44087,48518
Jasper,22138,43786,48217
Jefferson,21317,42610,47041
Jefferson Davis,21892,43444,47875
Jones,21810,44333,48764
Kemper,21317,42610,47041
Lafayette,23642,45947,50377
Lamar,23369,45290,49721
Lauderdale,22165,43827,48258
Lawrence,21687,43143,47574
Leake,21550,42952,47383
Lee,22398,44155,48586
Leflore,21769,42610,47041
Lincoln,21345,42651,47082
Lowndes,21317,42610,47041
Madison,22958,45003,49434
Marion,21317,42610,47041
Marshall,21864,42610,47041
Monroe,21317,42610,47041
Montgomery,21317,42610,47041
Neshoba,21345,42651,47082
Newton,21331,42638,47068
Noxubee,21317,42610,47041
Oktibbeha,22316,44962,49393
Panola,21317,42610,47041
Pearl River,22726,44634,49065
Perry,23369,45290,49721
Pike,22001,43595,48025
Pontotoc,21564,42966,47396
Prentiss,21317,42610,47041
Quitman,20716,42610,47041
Rankin,22958,45003,49434
Scott,21317,42610,47041
Sharkey,21317,42610,47041
Simpson,21646,42610,47041
Smith,20784,42610,47041
Stone,21741,43226,47656
Sunflower,21030,42610,47041
Tallahatchie,21167,42610,47041
Tate,22439,42706,47137
Tippah,21454,42815,47246
Tishomingo,21317,42610,47041
Tunica,22890,43075,47506
Union,21317,42610,47041
Walthall,21317,42610,47041
Warren,23136,43513,47943
Washington,22001,42610,47041
Wayne,20716,42610,47041
Webster,21317,42610,47041
Wilkinson,21317,42610,47041
Winston,21317,42610,47041
Yalobusha,21317,42610,47041
Yazoo,21769,42788,47219
