COUNTY,SINGLE,ONECHILD,TWOCHILD
Beaverhead,21849,48713,59558
Big Horn,21986,48891,59736
Blaine,21849,48713,59558
Broadwater,22533,49657,60501
Carbon,22711,51147,61992
Carter,21849,48713,59558
Cascade,22505,49246,60091
Chouteau,21849,48713,59558
Custer,21849,48713,59558
Daniels,21849,48713,59558
Dawson,21849,48713,59558
Deer Lodge,21849,48713,59558
Fallon,21849,48713,59558
Fergus,22478,49574,60419
Flathead,21876,49615,60460
Gallatin,23422,50997,61842
Garfield,21849,48713,59558
Glacier,22793,48713,59558
Golden Valley,21083,48713,59558
Granite,21945,48850,59695
Hill,22109,48713,59558
Jefferson,23449,50928,61773
Judith Basin,21849,48713,59558
Lake,21247,48904,59749
Lewis and Clark,22697,49834,60679
Liberty,21849,48713,59558
Lincoln,21849,48713,59558
Madison,23627,49657,60501
McCone,21849,48713,59558
Meagher,22054,48986,59831
Mineral,21849,48713,59558
Missoula,23887,51092,61937
Musselshell,21753,48713,59558
Park,22546,51065,61910
Petroleum,22369,49438,60283
Phillips,21849,48713,59558
Pondera,21849,48713,59558
Powder River,21849,48713,59558
Powell,21849,48713,59558
Prairie,21849,48713,59558
Ravalli,22519,49260,60105
Richland,22683,49875,60720
Roosevelt,21849,48713,59558
Rosebud,21849,48713,59558
Sanders,22205,48713,59558
Sheridan,21849,48713,59558
Silver Bow,22492,49178,60023
Stillwater,21849,48713,59558
Sweet Grass,22287,49315,60160
Teton,21083,48754,59599
Toole,21849,48713,59558
Treasure,22369,49438,60283
Valley,21849,48713,59558
Wheatland,21849,48713,59558
Wibaux,22505,49615,60460
Yellowstone,22711,51147,61992
