COUNTY,SINGLE,ONECHILD,TWOCHILD
Atlantic,27073,57375,67098
Bergen,30710,60753,70475
Burlington,26157,56021,65744
Camden,26157,56021,65744
Cape May,24434,54955,64678
Cumberland,25665,54914,64637
Essex,28372,57074,66797
Gloucester,26157,56021,65744
Hudson,30341,60233,69956
Hunterdon,29015,62079,71802
Mercer,27552,58113,67836
Middlesex,29015,62079,71802
Monmouth,27606,59754,69477
Morris,28372,57074,66797
Ocean,27606,59754,69477
Passaic,30710,60753,70475
Salem,26157,56021,65744
Somerset,29015,62079,71802
Sussex,28372,57074,66797
Union,28372,57074,66797
Warren,25473,54750,64472
