COUNTY,SINGLE,ONECHILD,TWOCHILD
Albany,24509,55563,74416
Allegany,22335,51119,69972
Bronx,33561,64192,83045
Broome,22499,52295,71148
Cattaraugus,22171,51147,70000
Cayuga,22581,52528,71381
Chautauqua,22568,51434,70287
Chemung,22964,52952,71805
Chenango,23101,51612,70465
Clinton,22827,53458,72311
Columbia,24892,54798,73651
Cortland,23634,52500,71353
Delaware,23060,52227,71080
Dutchess,26793,59160,78013
Erie,24072,52883,71736
Essex,22882,53882,72734
Franklin,22636,51967,70820
Fulton,22458,52159,71012
Genesee,22390,52514,71367
Greene,23867,54538,73391
Hamilton,23566,52514,71367
Herkimer,23744,53006,71859
Jefferson,24578,56780,75633
Kings,33561,64192,83045
Lewis,22786,51530,70382
Livingston,23620,54319,73172
Madison,22991,52979,71832
Monroe,23620,54319,73172
Montgomery,23470,52336,71189
Nassau,31893,67487,86340
New York,33561,64192,83045
Niagara,24072,52883,71736
Oneida,23744,53006,71859
Onondaga,22991,52979,71832
Ontario,23620,54319,73172
Orange,26793,59160,78013
Orleans,23620,54319,73172
Oswego,22991,52979,71832
Otsego,24236,53471,72324
Putnam,33561,64192,83045
Queens,33561,64192,83045
Rensselaer,24509,55563,74416
Richmond,33561,64192,83045
Rockland,33561,64192,83045
Saratoga,24509,55563,74416
Schenectady,24509,55563,74416
Schoharie,24509,55563,74416
Schuyler,22486,51147,70000
Seneca,22513,52268,71121
Steuben,22431,51748,70601
St. Lawrence,23703,53075,71928
Suffolk,31893,67487,86340
Sullivan,25002,54825,73678
Tioga,22499,52295,71148
Tompkins,26588,56452,75305
Ulster,24974,57409,76262
Warren,22773,53717,72570
Washington,22773,53717,72570
Wayne,23620,54319,73172
Westchester,31428,65135,83988
Wyoming,21843,51160,70013
Yates,21815,51598,70451
