COUNTY,SINGLE,ONECHILD,TWOCHILD
Adams,21831,45599,53140
Barnes,22145,46939,54480
Benson,21831,45599,53140
Billings,22733,47555,55095
Bottineau,21735,46379,53919
Bowman,23458,47582,55123
Burke,21448,45859,53400
Burleigh,22884,48033,55574
Cass,20901,46775,54316
Cavalier,21831,45599,53140
Dickey,22391,46283,53824
Divide,21243,45599,53140
Dunn,28805,55568,63108
Eddy,21831,45599,53140
Emmons,21831,45599,53140
Foster,21147,45599,53140
Golden Valley,25277,50918,58459
Grand Forks,21598,47965,55505
Grant,21831,45599,53140
Griggs,21462,45599,53140
Hettinger,21831,45599,53140
Kidder,21913,46338,53878
LaMoure,22296,47144,54685
Logan,21421,45818,53359
McHenry,21831,45599,53140
McIntosh,21762,45599,53140
McKenzie,22569,47377,54918
McLean,22063,45873,53413
Mercer,22419,47295,54835
Morton,22884,48033,55574
Mountrail,25810,51835,59375
Nelson,21831,45599,53140
Oliver,21298,45599,53140
Pembina,21899,45681,53222
Pierce,22870,47746,55287
Ramsey,21762,46420,53960
Ransom,22446,47336,54876
Renville,21844,46392,53933
Richland,21927,45722,53263
Rolette,21352,45736,53277
Sargent,21927,46638,54179
Sheridan,21243,45599,53140
Sioux,21298,45599,53140
Slope,22733,47555,55095
Stark,24402,49961,57502
Steele,21680,45599,53140
Stutsman,22556,47486,55027
Towner,21380,45914,53454
Traill,22077,46720,54261
Walsh,21831,45599,53140
Ward,24990,52518,60059
Wells,21721,45599,53140
Williams,24880,51616,59156
