COUNTY,SINGLE,ONECHILD,TWOCHILD
Adams,21093,45193,52919
Allen,21530,45193,52919
Ashland,21188,45371,53097
Ashtabula,21038,45193,52919
Athens,22296,46191,53917
Auglaize,21366,45589,53315
Belmont,23007,46218,53944
Brown,20546,45193,52919
Butler,21667,46902,54628
Carroll,21079,46287,54013
Champaign,20423,45289,53015
Clark,21106,45330,53056
Clermont,21667,46902,54628
Clinton,21325,46041,53767
Columbiana,20819,45289,53015
Coshocton,21093,45193,52919
Crawford,21421,45193,52919
Cuyahoga,21626,46560,54286
Darke,21913,45193,52919
Defiance,21421,45193,52919
Delaware,22392,47996,55722
Erie,21995,47682,55408
Fairfield,22392,47996,55722
Fayette,21817,46218,53944
Franklin,22392,47996,55722
Fulton,20819,45863,53589
Gallia,21093,45193,52919
Geauga,21626,46560,54286
Greene,21640,46328,54054
Guernsey,22022,45193,52919
Hamilton,21667,46902,54628
Hancock,21749,45453,53179
Hardin,20655,45193,52919
Harrison,20368,45193,52919
Henry,21093,45193,52919
Highland,21093,45193,52919
Hocking,22159,45193,52919
Holmes,21093,45193,52919
Huron,20450,45193,52919
Jackson,21093,45193,52919
Jefferson,21093,45631,53357
Knox,21694,45863,53589
Lake,21626,46560,54286
Lawrence,20819,45412,53138
Licking,22392,47996,55722
Logan,21749,46123,53849
Lorain,21626,46560,54286
Lucas,20819,45863,53589
Madison,22392,47996,55722
Mahoning,21024,45193,52919
Marion,20874,45986,53712
Medina,21626,46560,54286
Meigs,21093,45193,52919
Mercer,21093,45193,52919
Miami,21640,46328,54054
Monroe,21093,45193,52919
Montgomery,21640,46328,54054
Morgan,22159,45193,52919
Morrow,22392,47996,55722
Muskingum,20751,45795,53521
Noble,21134,45261,52987
Ottawa,21407,45644,53370
Paulding,21093,45193,52919
Perry,20587,45193,52919
Pickaway,22392,47996,55722
Pike,21093,45193,52919
Portage,21516,46683,54409
Preble,20915,45617,53343
Putnam,21667,46000,53726
Richland,21325,45193,52919
Ross,22583,46752,54478
Sandusky,21052,45193,52919
Scioto,20368,45193,52919
Seneca,21503,45193,52919
Shelby,21503,45767,53493
Stark,21079,46287,54013
Summit,21516,46683,54409
Trumbull,21024,45193,52919
Tuscarawas,21243,46191,53917
Union,22200,47641,55367
Van Wert,21093,45193,52919
Vinton,21093,45193,52919
Warren,21667,46902,54628
Washington,20477,45193,52919
Wayne,21667,45945,53671
Williams,21257,45193,52919
Wood,20819,45863,53589
Wyandot,21093,45193,52919
