COUNTY,SINGLE,ONECHILD,TWOCHILD
Adair,20909,46101,55693
Alfalfa,20909,46101,55693
Atoka,20909,46101,55693
Beaver,20909,46101,55693
Beckham,22741,48781,58373
Blaine,21087,46361,55953
Bryan,21921,46553,56144
Caddo,20389,46101,55693
Canadian,22276,47852,57443
Carter,21142,46703,56294
Cherokee,21169,46101,55693
Choctaw,21429,46101,55693
Cimarron,20909,46101,55693
Cleveland,22276,47852,57443
Coal,20909,46101,55693
Comanche,22099,46990,56582
Cotton,21497,46101,55693
Craig,22167,46101,55693
Creek,21812,48002,57593
Custer,21442,46101,55693
Delaware,20909,46101,55693
Dewey,20977,46197,55788
Ellis,21483,46935,56527
Garfield,20745,46484,56076
Garvin,22126,46101,55693
Grady,21142,46101,55693
Grant,20909,46101,55693
Greer,21880,47510,57101
Harmon,20909,46101,55693
Harper,20909,46101,55693
Haskell,20909,46101,55693
Hughes,20909,46101,55693
Jackson,21169,46252,55843
Jefferson,21429,46101,55693
Johnston,20909,46101,55693
Kay,21224,46101,55693
Kingfisher,20909,46101,55693
Kiowa,20909,46101,55693
Latimer,20909,46101,55693
Le Flore,21784,46101,55693
Lincoln,21142,46101,55693
Logan,22276,47852,57443
Love,21032,46279,55871
Major,20909,46101,55693
Marshall,20417,46156,55747
Mayes,20389,46101,55693
McClain,22276,47852,57443
McCurtain,20554,46101,55693
McIntosh,20485,46101,55693
Murray,20950,46101,55693
Muskogee,20389,46101,55693
Noble,20389,46101,55693
Nowata,21976,47646,57238
Okfuskee,20909,46101,55693
Oklahoma,22276,47852,57443
Okmulgee,20540,46101,55693
Osage,21812,48002,57593
Ottawa,21237,46553,56144
Pawnee,20649,46101,55693
Payne,22235,47674,57265
Pittsburg,20854,46840,56431
Pontotoc,21018,46334,55925
Pottawatomie,21907,46429,56021
Pushmataha,21429,46101,55693
Roger Mills,20909,46101,55693
Rogers,21812,48002,57593
Seminole,20389,46101,55693
Sequoyah,21237,46101,55693
Stephens,20663,46101,55693
Texas,21224,46553,56144
Tillman,20909,46101,55693
Tulsa,21812,48002,57593
Wagoner,21812,48002,57593
Washington,21018,46252,55843
Washita,20991,46224,55816
Woods,20909,46101,55693
Woodward,21948,46717,56308
