COUNTY,SINGLE,ONECHILD,TWOCHILD
Adams,22326,47192,57155
Allegheny,21506,46481,56444
Armstrong,20439,44553,54516
Beaver,21506,46481,56444
Bedford,21465,44553,54516
Berks,22053,48300,58262
Blair,21328,45155,55117
Bradford,21068,45018,54981
Bucks,25321,51800,61763
Butler,21506,46481,56444
Cambria,21123,44553,54516
Cameron,20836,44553,54516
Carbon,22778,49435,59397
Centre,24377,48095,58057
Chester,25321,51800,61763
Clarion,20836,44553,54516
Clearfield,21273,46126,56088
Clinton,21574,45688,55651
Columbia,22012,46604,56567
Crawford,21697,45633,55596
Cumberland,22094,47794,57756
Dauphin,22094,47794,57756
Delaware,25321,51800,61763
Elk,20726,44553,54516
Erie,21684,45592,55555
Fayette,21506,46481,56444
Forest,21109,45073,55035
Franklin,21123,46837,56799
Fulton,20836,44553,54516
Greene,21465,44567,54529
Huntingdon,21301,44553,54516
Indiana,21971,45168,55131
Jefferson,21191,44553,54516
Juniata,20754,44553,54516
Lackawanna,21328,46208,56170
Lancaster,22367,48149,58112
Lawrence,19879,44827,54789
Lebanon,22094,45893,55856
Lehigh,22778,49435,59397
Luzerne,21328,46208,56170
Lycoming,23051,46659,56622
McKean,19769,44704,54666
Mercer,20795,44991,54953
Mifflin,21178,44553,54516
Monroe,25157,51541,61503
Montgomery,25321,51800,61763
Montour,23215,48642,58604
Northampton,22778,49435,59397
Northumberland,20480,44881,54844
Perry,22094,47794,57756
Philadelphia,25321,51800,61763
Pike,23694,50884,60847
Potter,20836,44553,54516
Schuylkill,21971,45428,55391
Snyder,21520,45456,55418
Somerset,20467,44553,54516
Sullivan,20316,44553,54516
Susquehanna,22176,45606,55569
Tioga,20344,45442,55405
Union,21793,45975,55938
Venango,21082,44553,54516
Warren,21396,44553,54516
Washington,21506,46481,56444
Wayne,20781,46290,56252
Westmoreland,21506,46481,56444
Wyoming,21328,46208,56170
York,21561,47438,57401
