COUNTY,SINGLE,ONECHILD,TWOCHILD
Abbeville,21412,44571,50430
Aiken,22533,45541,51401
Allendale,21412,44571,50430
Anderson,22191,44571,50430
Bamberg,21685,44953,50813
Barnwell,21576,44789,50649
Beaufort,26813,50163,56023
Berkeley,24584,48659,54519
Calhoun,22930,47333,53192
Charleston,24584,48659,54519
Cherokee,22109,44789,50649
Chester,21836,44571,50430
Chesterfield,21412,44571,50430
Clarendon,21412,44571,50430
Colleton,21822,45131,50991
Darlington,21863,44571,50430
Dillon,21412,44571,50430
Dorchester,24584,48659,54519
Edgefield,22533,45541,51401
Fairfield,22930,47333,53192
Florence,22260,45295,51155
Georgetown,22465,46034,51893
Greenville,22369,45924,51784
Greenwood,21959,45336,51196
Hampton,21412,44571,50430
Horry,24776,47387,53247
Jasper,24502,47292,53151
Kershaw,22588,44735,50594
Lancaster,23354,48782,54642
Laurens,21535,44571,50430
Lee,21412,44571,50430
Lexington,22930,47333,53192
Marion,22451,44571,50430
Marlboro,21412,44571,50430
McCormick,21412,44571,50430
Newberry,21412,44571,50430
Oconee,21412,44571,50430
Orangeburg,22492,45596,51456
Pickens,22369,45924,51784
Richland,22930,47333,53192
Saluda,22930,47333,53192
Spartanburg,20974,44885,50745
Sumter,22848,45323,51182
Union,21015,44571,50430
Williamsburg,21412,44571,50430
York,24447,47757,53616
