COUNTY,SINGLE,ONECHILD,TWOCHILD
Anderson,21286,44754,51140
Andrews,24076,48665,55050
Angelina,22791,45794,52179
Aransas,22271,46259,52644
Archer,20370,45274,51659
Armstrong,20945,46190,52575
Atascosa,20739,45657,52042
Austin,22380,46860,53246
Bailey,20849,44180,50565
Bandera,22285,48050,54435
Bastrop,24691,51209,57594
Baylor,20726,44180,50565
Bee,22654,46190,52575
Bell,21833,45657,52042
Bexar,22285,48050,54435
Blanco,22750,46888,53273
Borden,21464,44973,51359
Bosque,21095,44495,50880
Bowie,20630,44713,51099
Brazoria,24185,48187,54572
Brazos,22298,46423,52808
Brewster,21710,45506,51892
Briscoe,20849,44180,50565
Brooks,20849,44180,50565
Brown,20179,44631,51017
Burleson,22298,46423,52808
Burnet,22709,45944,52329
Caldwell,24691,51209,57594
Calhoun,22640,46518,52904
Callahan,21505,46081,52466
Cameron,20999,44372,50757
Camp,20534,44221,50606
Carson,20945,46190,52575
Cass,19673,44180,50565
Castro,21437,44946,51331
Chambers,23351,48214,54599
Cherokee,21478,45178,51564
Childress,21204,44631,51017
Clay,20370,45274,51659
Cochran,20726,44180,50565
Coke,20904,44413,50798
Coleman,20726,44180,50565
Collin,23187,48966,55351
Collingsworth,20849,44180,50565
Colorado,20849,44180,50565
Comal,22285,48050,54435
Comanche,20808,44180,50565
Concho,25744,50607,56992
Cooke,22298,46286,52671
Coryell,21833,45657,52042
Cottle,20849,44180,50565
Crane,20849,44180,50565
Crockett,20849,44180,50565
Crosby,21218,45657,52042
Culberson,20849,44180,50565
Dallam,22093,45807,52193
Dallas,23187,48966,55351
Dawson,20767,44180,50565
Deaf Smith,21437,45124,51509
Delta,20945,44481,50866
Denton,23187,48966,55351
DeWitt,21314,44262,50647
Dickens,20849,44180,50565
Dimmit,20986,44344,50730
Donley,20726,44180,50565
Duval,21943,45616,52001
Eastland,20097,44180,50565
Ector,25170,52849,59235
Edwards,20849,44180,50565
Ellis,23187,48966,55351
El Paso,21232,46272,52658
Erath,22668,45862,52247
Falls,20657,44180,50565
Fannin,19782,44358,50743
Fayette,21027,44577,50962
Fisher,20849,44180,50565
Floyd,20849,44180,50565
Foard,20849,44180,50565
Fort Bend,23351,48214,54599
Franklin,20849,44180,50565
Freestone,20849,44180,50565
Frio,20739,44194,50579
Gaines,20849,44180,50565
Galveston,23351,48214,54599
Garza,20849,44180,50565
Gillespie,23748,48200,54586
Glasscock,21464,44973,51359
Goliad,23802,47421,53806
Gonzales,20753,44221,50606
Gray,22257,45151,51536
Grayson,20712,45739,52124
Gregg,22695,46559,52945
Grimes,20794,44276,50661
