COUNTY,SINGLE,ONECHILD,TWOCHILD
Beaver,20983,45529,56332
Box Elder,21434,46008,56811
Cache,21120,45953,56756
Carbon,21530,45529,56332
Daggett,22583,47936,58739
Davis,22720,48387,59190
Duchesne,21940,46978,57782
Emery,20983,45529,56332
Garfield,20983,45529,56332
Grand,22460,47758,58561
Iron,21558,45529,56332
Juab,23376,47826,58629
Kane,22528,47867,58670
Millard,20983,45529,56332
Morgan,22720,48387,59190
Piute,22487,47799,58602
Rich,22898,48414,59217
Salt Lake,23882,50178,60981
San Juan,20983,45529,56332
Sanpete,20983,45529,56332
Sevier,20983,45529,56332
Summit,24689,50766,61569
Tooele,23048,47594,58397
Uintah,22706,48127,58930
Utah,23376,47826,58629
Wasatch,23513,49344,60147
Washington,23034,47908,58711
Wayne,20983,45529,56332
Weber,22720,48387,59190
