COUNTY,SINGLE,ONECHILD,TWOCHILD
Accomack,22710,50700,58392
Albemarle,25008,56347,64039
Alexandria city,34935,64825,72517
Alleghany,21876,49606,57298
Amelia,26594,54692,62385
Amherst,23107,51739,59431
Appomattox,23107,51739,59431
Arlington,34935,64825,72517
Augusta,23791,52217,59910
Bath,21876,49606,57298
Bedford city,23107,51739,59431
Bedford,23107,51739,59431
Bland,21712,49606,57298
Botetourt,23066,52928,60621
Bristol city,21439,49647,57339
Brunswick,23476,51958,59650
Buchanan,21876,49606,57298
Buckingham,21206,50344,58037
Buena Vista city,21945,50604,58296
Campbell,23107,51739,59431
Caroline,26594,54692,62385
Carroll,21876,49606,57298
Charles City,26594,54692,62385
Charlotte,21712,49606,57298
Charlottesville city,25008,56347,64039
Chesapeake city,28016,56402,64094
Chesterfield,26594,54692,62385
Clarke,34935,64825,72517
Colonial Heights city,26594,54692,62385
Covington city,21876,49606,57298
Craig,23066,52928,60621
Culpeper,26512,54583,62275
Cumberland,23408,51616,59308
Danville city,21876,49606,57298
Dickenson,21876,49606,57298
Dinwiddie,26594,54692,62385
Emporia city,22861,50973,58666
Essex,24502,53038,60730
Fairfax city,34935,64825,72517
Fairfax,34935,64825,72517
Falls Church city,34935,64825,72517
Fauquier,34935,64825,72517
Floyd,22327,49606,57298
Fluvanna,25008,56347,64039
Franklin city,23490,51178,58871
Franklin,21945,51082,58775
Frederick,25842,55130,62822
Fredericksburg city,34935,64825,72517
Galax city,21876,49606,57298
Giles,21302,49961,57654
Gloucester,28016,56402,64094
Goochland,26594,54692,62385
Grayson,21876,49606,57298
Greene,25008,56347,64039
Greensville,22861,50973,58666
Halifax,21876,49606,57298
Hampton city,28016,56402,64094
Hanover,26594,54692,62385
Harrisonburg city,23804,51930,59623
Henrico,26594,54692,62385
Henry,21876,49606,57298
Highland,21876,49606,57298
Hopewell city,26594,54692,62385
Isle of Wight,28016,56402,64094
James City,28016,56402,64094
King and Queen,24994,53694,61387
King George,25322,54118,61811
King William,26594,54692,62385
Lancaster,24570,53421,61113
Lee,21876,49606,57298
Lexington city,21945,50604,58296
Loudoun,34935,64825,72517
Louisa,24871,53530,61223
Lunenburg,22314,50194,57886
Lynchburg city,23107,51739,59431
Madison,24611,53188,60881
Manassas city,34935,64825,72517
Manassas Park city,34935,64825,72517
Martinsville city,21876,49606,57298
Mathews,28016,56402,64094
Mecklenburg,22177,50016,57708
Middlesex,25185,54255,61947
Montgomery,24324,52983,60676
Nelson,25008,56347,64039
New Kent,26594,54692,62385
Newport News city,28016,56402,64094
Norfolk city,28016,56402,64094
Northampton,23517,52026,59718
Northumberland,23107,51479,59171
Norton city,21876,49606,57298
Nottoway,22409,50317,58009
Orange,23271,51438,59130
Page,22191,50030,57722
Patrick,21876,49606,57298
Petersburg city,26594,54692,62385
Pittsylvania,21876,49606,57298
Poquoson city,28016,56402,64094
Portsmouth city,28016,56402,64094
Powhatan,26594,54692,62385
Prince Edward,23435,51917,59609
Prince George,26594,54692,62385
Prince William,34935,64825,72517
Pulaski,22382,49660,57353
Radford city,24324,52983,60676
Rappahannock,27059,55950,63643
Richmond city,26594,54692,62385
Richmond,22464,50617,58310
Roanoke city,23066,52928,60621
Roanoke,23066,52928,60621
Rockbridge,21945,50604,58296
Rockingham,23804,51930,59623
Russell,21876,49606,57298
Salem city,23066,52928,60621
Scott,21439,49647,57339
Shenandoah,22109,51780,59472
Smyth,22286,49606,57298
Southampton,23490,51178,58871
Spotsylvania,34935,64825,72517
Stafford,34935,64825,72517
Staunton city,23791,52217,59910
Suffolk city,28016,56402,64094
Surry,21999,49770,57462
Sussex,26594,54692,62385
Tazewell,21876,49606,57298
Virginia Beach city,28016,56402,64094
Warren,25336,54446,62139
Washington,21439,49647,57339
Waynesboro city,23791,52217,59910
Westmoreland,22997,51151,58843
Williamsburg city,28016,56402,64094
Winchester city,25842,55130,62822
Wise,21876,49606,57298
Wythe,21712,49606,57298
York,28016,56402,64094
