COUNTY,SINGLE,ONECHILD,TWOCHILD
Adams,19945,47448,56365
Asotin,20328,47886,56802
Benton,21640,49732,58648
Chelan,21312,49158,58074
Clallam,21996,50839,59756
Clark,26850,55092,64009
Columbia,20560,48023,56939
Cowlitz,20669,48296,57213
Douglas,21312,49158,58074
Ferry,20369,48105,57021
Franklin,21640,49732,58648
Garfield,19931,47421,56337
Grant,21039,48638,57554
Grays Harbor,20875,48433,57349
Island,23637,51564,60481
Jefferson,22283,51304,60221
King,28860,59222,68138
Kitsap,22926,52316,61233
Kittitas,21804,50060,58977
Klickitat,22980,49281,58197
Lewis,20834,48884,57801
Lincoln,19931,47421,56337
Mason,22215,51195,60111
Okanogan,20916,48173,57090
Pacific,21189,49581,58498
Pend Oreille,20273,48132,57049
Pierce,24389,53725,62641
San Juan,24608,52850,61766
Skagit,22980,51209,60125
Skamania,26850,55092,64009
Snohomish,28860,59222,68138
Spokane,21449,49992,58908
Stevens,21134,47804,56720
Thurston,24635,52754,61670
Wahkiakum,19931,47421,56337
Walla Walla,21107,48583,57500
Whatcom,22926,51345,60262
Whitman,21353,48583,57500
Yakima,21271,49240,58156
