COUNTY,SINGLE,ONECHILD,TWOCHILD
Barbour,20807,44407,52634
Berkeley,23679,47962,56189
Boone,20342,44407,52634
Braxton,22134,44407,52634
Brooke,21067,44844,53072
Cabell,20794,44626,52853
Calhoun,21778,44407,52634
Clay,20903,45296,53523
Doddridge,21819,44967,53195
Fayette,20342,44407,52634
Gilmer,21970,44407,52634
Grant,22120,44899,53126
Greenbrier,20780,44885,53113
Hampshire,25033,49275,57502
Hancock,21067,44844,53072
Hardy,21395,44407,52634
Harrison,23050,45514,53742
Jackson,21546,44407,52634
Jefferson,24376,47565,55793
Kanawha,20903,45296,53523
Lewis,22052,45132,53359
Lincoln,21081,44407,52634
Logan,21710,44448,52675
Marion,22872,45966,54193
Marshall,22981,45432,53660
Mason,21970,44407,52634
McDowell,21970,44407,52634
Mercer,22134,44407,52634
Mineral,21423,44434,52661
Mingo,20930,45323,53550
Monongalia,22899,46431,54658
Monroe,21970,44407,52634
Morgan,21450,46143,54371
Nicholas,21970,44407,52634
Ohio,22981,45432,53660
Pendleton,21559,44407,52634
Pleasants,22476,45036,53263
Pocahontas,21409,44434,52661
Preston,22899,46431,54658
Putnam,23474,46649,54877
Raleigh,21929,44653,52880
Randolph,22147,44489,52716
Ritchie,21970,44407,52634
Roane,21970,44407,52634
Summers,21970,44407,52634
Taylor,20342,44407,52634
Tucker,21518,44571,52798
Tyler,21970,44407,52634
Upshur,20766,44503,52730
Wayne,20794,44626,52853
Webster,21737,44858,53085
Wetzel,21970,44407,52634
Wirt,22298,45282,53509
Wood,22298,45282,53509
Wyoming,22134,44407,52634
