COUNTY,SINGLE,ONECHILD,TWOCHILD
Albany,21176,47736,59522
Big Horn,20588,46696,58483
Campbell,22776,49869,61656
Carbon,21258,47667,59454
Converse,20697,46847,58634
Crook,21244,47640,59427
Fremont,20588,47175,58962
Goshen,20724,46888,58675
Hot Springs,20642,46696,58483
Johnson,21176,47544,59331
Laramie,22461,48939,60726
Lincoln,21627,48187,59974
Natrona,23063,49937,61724
Niobrara,20588,46696,58483
Park,20916,47161,58948
Platte,20588,46696,58483
Sheridan,21955,48679,60466
Sublette,21559,48105,59892
Sweetwater,22297,49171,60958
Teton,24526,52398,64185
Uinta,20889,47134,58921
Washakie,20588,46696,58483
Weston,20670,46819,58606
