Aleutians East Borough,24889,54173,64542
Aleutians West Census Area,28978,62569,72938
Anchorage Municipality,26448,57127,67496
Bethel Census Area,28691,59465,69834
Bristol Bay Borough,26530,56457,66826
Denali Borough,29812,61037,71407
Dillingham Census Area,26011,55745,66115
Fairbanks North Star Borough,25300,56771,67140
Haines Borough,24192,53216,63585
Hoonah-Angoon Census Area,21772,51219,61589
Juneau City and Borough,27023,59492,69861
Kenai Peninsula Borough,26093,54665,65035
Ketchikan Gateway Borough,25737,57455,67824
Kodiak Island Borough,26640,54433,64802
Lake and Peninsula Borough,23249,51889,62259
Matanuska-Susitna Borough,23331,53681,64050
Nome Census Area,28034,61078,71448
North Slope Borough,27269,56279,66648
Northwest Arctic Borough,28568,56703,67072
Petersburg Census Area,23508,53941,64310
Prince of Wales-Hyder Census Area,25546,53968,64337
Sitka City and Borough,26544,56921,67291
Skagway Municipality,28199,58781,69150
Southeast Fairbanks Census Area,26312,56169,66539
Valdez-Cordova Census Area,25942,55021,65390
Wade Hampton Census Area,23837,52724,63093
Wrangell City and Borough,24219,53257,63626
Yakutat City and Borough,25915,55609,65978
Yukon-Koyukuk Census Area,22442,50235,60604
