Adams,26937,58400,66754
Alamosa,23163,50332,58687
Arapahoe,26937,58400,66754
Archuleta,23860,51604,59958
Baca,23094,49867,58222
Bent,22410,49936,58290
Boulder,27771,57511,65865
Broomfield,26937,58400,66754
Chaffee,23204,51002,59357
Cheyenne,22356,49867,58222
Clear Creek,26937,58400,66754
Conejos,23094,49867,58222
Costilla,22534,49867,58222
Crowley,22356,49867,58222
Custer,22534,49867,58222
Delta,23928,51973,60327
Denver,26937,58400,66754
Dolores,23094,49867,58222
Douglas,26937,58400,66754
Eagle,26294,57730,66084
Elbert,26937,58400,66754
El Paso,23641,53546,61900
Fremont,22971,50250,58604
Garfield,25815,54489,62843
Gilpin,26937,58400,66754
Grand,23573,53450,61804
Gunnison,22342,51495,59849
Hinsdale,23299,50866,59220
Huerfano,22534,49867,58222
Jackson,23122,50633,58987
Jefferson,26937,58400,66754
Kiowa,23518,51153,59507
Kit Carson,22534,49867,58222
Lake,24270,52438,60792
La Plata,25050,53778,62132
Larimer,25227,54175,62529
Las Animas,22643,51399,59753
Lincoln,22657,49867,58222
Logan,22930,50155,58509
Mesa,23436,51481,59835
Mineral,22534,49867,58222
Moffat,23436,50496,58851
Montezuma,23094,49867,58222
Montrose,23532,51440,59794
Morgan,22383,49867,58222
Otero,22616,50223,58577
Ouray,24735,55269,63623
Park,26937,58400,66754
Phillips,22356,49867,58222
Pitkin,29261,62420,70774
Prowers,22834,49867,58222
Pueblo,23586,51522,59876
Rio Blanco,23108,50619,58974
Rio Grande,23094,49867,58222
Routt,28113,56075,64430
Saguache,22356,49867,58222
San Juan,26444,54968,63322
San Miguel,26690,58359,66713
Sedgwick,22356,49867,58222
Summit,28441,58017,66371
Teller,24926,54270,62625
Washington,23094,49867,58222
Weld,23586,52821,61175
Yuma,22356,49867,58222
