Adams,21112,45013,53808
Allen,21167,45355,54150
Bartholomew,22903,47611,56406
Benton,23136,47214,56010
Blackford,21112,45013,53808
Boone,22876,47529,56324
Brown,22876,47529,56324
Carroll,21741,45013,53808
Cass,20674,45245,54041
Clark,22288,46749,55545
Clay,21331,46271,55066
Clinton,20756,45368,54164
Crawford,21112,45013,53808
Daviess,21112,45013,53808
Dearborn,21960,46927,55723
Decatur,22096,46435,55230
DeKalb,21030,45327,54123
Delaware,21399,45382,54178
Dubois,21713,45013,53808
Elkhart,21262,46175,54971
Fayette,21180,45122,53918
Floyd,22288,46749,55545
Fountain,21796,45997,54793
Franklin,21153,45984,54779
Fulton,21112,45013,53808
Gibson,22274,45013,53808
Grant,20620,45013,53808
Greene,20551,45013,53808
Hamilton,22876,47529,56324
Hancock,22876,47529,56324
Harrison,22288,46749,55545
Hendricks,22876,47529,56324
Henry,21590,45013,53808
Howard,21796,46093,54889
Huntington,20989,45013,53808
Jackson,21194,45136,53931
Jasper,22589,46366,55162
Jay,21112,45013,53808
Jefferson,21536,45792,54588
Jennings,21905,46161,54957
Johnson,22876,47529,56324
Knox,21796,45327,54123
Kosciusko,21290,46202,54998
LaGrange,21112,45013,53808
Lake,22247,47720,56516
LaPorte,21084,45874,54670
Lawrence,20729,45327,54123
Madison,21481,46503,55299
Marion,22876,47529,56324
Marshall,21891,45478,54273
Martin,21112,45013,53808
Miami,21112,45013,53808
Monroe,23765,47994,56789
Montgomery,22028,45779,54574
Morgan,22876,47529,56324
Newton,22247,47720,56516
Noble,21112,45013,53808
Ohio,21960,46927,55723
Orange,21112,45013,53808
Owen,21303,45820,54615
Parke,21112,45013,53808
Perry,21112,45013,53808
Pike,21112,45013,53808
Porter,22247,47720,56516
Posey,22493,46667,55463
Pulaski,21112,45013,53808
Putnam,22137,45341,54137
Randolph,21112,45013,53808
Ripley,20866,45532,54328
Rush,21112,45013,53808
Scott,21713,45833,54629
Shelby,22876,47529,56324
Spencer,20538,45013,53808
Starke,21399,45437,54232
Steuben,21713,45888,54683
St. Joseph,21618,46736,55531
Sullivan,21440,46435,55230
Switzerland,21112,45013,53808
Tippecanoe,23136,47214,56010
Tipton,21809,46011,54807
Union,20702,45013,53808
Vanderburgh,22493,46667,55463
Vermillion,21331,46271,55066
Vigo,21331,46271,55066
Wabash,21426,45013,53808
Warren,21235,45191,53986
Warrick,22493,46667,55463
Washington,21139,45013,53808
Wayne,21536,45396,54191
Wells,21167,45355,54150
White,21112,45013,53808
Whitley,21167,45355,54150
