Adair,20130,45247,55330
Allen,20800,45247,55330
Anderson,23166,46956,57039
Ballard,21006,45465,55549
Barren,20349,45589,55672
Bath,21019,45479,55563
Bell,20814,45247,55330
Boone,21963,47790,57874
Bourbon,21976,47366,57450
Boyd,21115,46300,56383
Boyle,21662,46012,56096
Bracken,21963,47790,57874
Breathitt,20855,45247,55330
Breckinridge,20855,45247,55330
Bullitt,22291,47612,57696
Butler,20800,45247,55330
Caldwell,20855,45247,55330
Calloway,20828,45848,55932
Campbell,21963,47790,57874
Carlisle,21320,45903,55987
Carroll,21689,46409,56492
Carter,20855,45247,55330
Casey,20855,45247,55330
Christian,21416,47270,57354
Clark,21976,47366,57450
Clay,20855,45247,55330
Clinton,20855,45247,55330
Crittenden,20855,45247,55330
Cumberland,20855,45247,55330
Daviess,21730,46108,56192
Edmonson,21799,46395,56479
Elliott,20855,45247,55330
Estill,20855,45247,55330
Fayette,21976,47366,57450
Fleming,20855,45247,55330
Floyd,20855,45247,55330
Franklin,22305,47270,57354
Fulton,20855,45247,55330
Gallatin,21963,47790,57874
Garrard,21252,45807,55891
Grant,21375,46888,56971
Graves,20855,45247,55330
Grayson,20855,45247,55330
Green,20855,45247,55330
Greenup,21115,46300,56383
Hancock,21730,46108,56192
Hardin,22004,47052,57135
Harlan,21334,45247,55330
Harrison,20130,45247,55330
Hart,21744,45247,55330
Henderson,22496,47530,57614
Henry,22291,47612,57696
Hickman,20855,45247,55330
Hopkins,21142,45643,55727
Jackson,20855,45247,55330
Jefferson,22291,47612,57696
Jessamine,21976,47366,57450
Johnson,20855,45247,55330
Kenton,21963,47790,57874
Knott,20855,45247,55330
Knox,20855,45247,55330
Larue,22004,47052,57135
Laurel,20855,45247,55330
Lawrence,20855,45247,55330
Lee,20855,45247,55330
Leslie,20855,45247,55330
Letcher,21101,45602,55686
Lewis,20855,45247,55330
Lincoln,20855,45247,55330
Livingston,20855,45247,55330
Logan,21689,45411,55494
Lyon,20855,45247,55330
Madison,21785,46149,56233
Magoffin,20855,45247,55330
Marion,20964,45397,55481
Marshall,21457,46081,56164
Martin,20855,45247,55330
Mason,21074,45561,55645
McCracken,21388,45999,56082
McCreary,20855,45247,55330
McLean,21730,46108,56192
Meade,21347,46518,56602
Menifee,20855,45247,55330
Mercer,21142,45657,55740
Metcalfe,20855,45247,55330
Monroe,20855,45247,55330
Montgomery,21539,46204,56287
Morgan,21758,45247,55330
Muhlenberg,20855,45247,55330
Nelson,21662,46368,56451
Nicholas,20855,45247,55330
Ohio,20855,45247,55330
Oldham,22291,47612,57696
Owen,21074,45561,55645
Owsley,20855,45247,55330
Pendleton,21963,47790,57874
Perry,20855,45247,55330
Pike,21033,45493,55576
Powell,20855,45247,55330
Pulaski,20923,45356,55440
Robertson,21347,45944,56028
Rockcastle,21197,45247,55330
Rowan,21963,46792,56875
Russell,21033,45247,55330
Scott,21976,47366,57450
Shelby,21785,46792,56875
Simpson,21580,46259,56342
Spencer,22291,47612,57696
Taylor,20855,45247,55330
Todd,21060,45534,55617
Trigg,21416,47270,57354
Trimble,22291,47612,57696
Union,21758,45247,55330
Warren,21799,46395,56479
Washington,21074,45547,55631
Wayne,20855,45247,55330
Webster,20855,45247,55330
Whitley,21074,45547,55631
Wolfe,21019,45479,55563
Woodford,21976,47366,57450
