Acadia Parish,20000,45089,51224
Allen Parish,21217,45089,51224
Ascension Parish,22652,48534,54670
Assumption Parish,21080,45335,51470
Avoyelles Parish,19671,45143,51279
Beauregard Parish,21217,45089,51224
Bienville Parish,21217,45089,51224
Bossier Parish,22844,48835,54971
Caddo Parish,22844,48835,54971
Calcasieu Parish,21217,47577,53712
Caldwell Parish,21217,45089,51224
Cameron Parish,21217,47577,53712
Catahoula Parish,21217,45089,51224
Claiborne Parish,20560,45089,51224
Concordia Parish,20560,45089,51224
De Soto Parish,22844,48835,54971
East Baton Rouge Parish,22652,48534,54670
East Carroll Parish,20711,45089,51224
East Feliciana Parish,22652,48534,54670
Evangeline Parish,20560,45089,51224
Franklin Parish,20560,45089,51224
Grant Parish,22529,47769,53904
Iberia Parish,21435,46251,52386
Iberville Parish,20847,45936,52072
Jackson Parish,20560,45089,51224
Jefferson Davis Parish,21217,45089,51224
Jefferson Parish,23719,50011,56146
Lafayette Parish,22434,48357,54492
Lafourche Parish,23446,48712,54847
La Salle Parish,20629,45089,51224
Lincoln Parish,22229,46374,52509
Livingston Parish,22652,48534,54670
Madison Parish,20560,45089,51224
Morehouse Parish,21217,45089,51224
Natchitoches Parish,21326,46114,52249
Orleans Parish,23719,50011,56146
Ouachita Parish,22899,47892,54027
Plaquemines Parish,23719,50011,56146
Pointe Coupee Parish,22652,48534,54670
Rapides Parish,22529,47769,53904
Red River Parish,21504,46347,52482
Richland Parish,20560,45089,51224
Sabine Parish,21094,45089,51224
St. Bernard Parish,23719,50011,56146
St. Charles Parish,23719,50011,56146
St. Helena Parish,22652,48534,54670
St. James Parish,20246,45089,51224
St. John the Baptist Parish,23719,50011,56146
St. Landry Parish,19849,45089,51224
St. Martin Parish,22434,48357,54492
St. Mary Parish,21463,46073,52208
St. Tammany Parish,23719,50011,56146
Tangipahoa Parish,22680,47618,53754
Tensas Parish,20560,45089,51224
Terrebonne Parish,23446,48712,54847
Union Parish,22899,47892,54027
Vermilion Parish,20355,45663,51798
Vernon Parish,22393,49437,55572
Washington Parish,20588,45116,51251
Webster Parish,20342,45307,51443
West Baton Rouge Parish,22652,48534,54670
West Carroll Parish,20560,45089,51224
West Feliciana Parish,22652,48534,54670
Winn Parish,21217,45089,51224
