Aitkin,22528,49276,57873
Anoka,24867,54472,63069
Becker,21229,48948,57545
Beltrami,21639,49604,58201
Benton,21954,49741,58338
Big Stone,21284,48934,57531
Blue Earth,23650,51286,59883
Brown,21216,48934,57531
Carlton,22419,50165,58762
Carver,24867,54472,63069
Cass,22733,49549,58147
Chippewa,21284,48934,57531
Chisago,24867,54472,63069
Clay,22022,50110,58707
Clearwater,21284,48934,57531
Cook,21968,50124,58721
Cottonwood,21284,48934,57531
Crow Wing,22145,50397,58994
Dakota,24867,54472,63069
Dodge,23650,52421,61018
Douglas,21776,49809,58406
Faribault,21284,48934,57531
Fillmore,21216,48934,57531
Freeborn,21216,48934,57531
Goodhue,22474,50452,59049
Grant,21284,48934,57531
Hennepin,24867,54472,63069
Houston,22364,50753,59350
Hubbard,21284,48934,57531
Isanti,24867,54472,63069
Itasca,21790,49741,58338
Jackson,21284,48934,57531
Kanabec,21858,49850,58447
Kandiyohi,21380,49084,57682
Kittson,21284,48934,57531
Koochiching,21284,48934,57531
Lac qui Parle,21284,48934,57531
Lake,21667,49549,58147
Lake of the Woods,21284,48934,57531
Le Sueur,21776,49809,58406
Lincoln,21284,48934,57531
Lyon,21790,48934,57531
Mahnomen,21284,48934,57531
Marshall,21284,48934,57531
Martin,21284,48934,57531
McLeod,21270,49016,57613
Meeker,21749,49768,58365
Mille Lacs,22624,51163,59760
Morrison,21284,48934,57531
Mower,21872,49959,58557
Murray,21284,48934,57531
Nicollet,23650,51286,59883
Nobles,22268,48934,57531
Norman,21284,48934,57531
Olmsted,23650,52421,61018
Otter Tail,22282,48934,57531
Pennington,21393,49207,57805
Pine,22186,50356,58953
Pipestone,21284,48934,57531
Polk,22720,51300,59897
Pope,21503,49276,57873
Ramsey,24867,54472,63069
Red Lake,22761,48934,57531
Redwood,21284,48934,57531
Renville,22296,48934,57531
Rice,23034,51669,60266
Rock,21284,48934,57531
Roseau,21284,48934,57531
Scott,24867,54472,63069
Sherburne,24867,54472,63069
Sibley,21434,49112,57709
Stearns,21954,49741,58338
Steele,22063,50165,58762
Stevens,21284,48934,57531
St. Louis,22419,50165,58762
Swift,22268,48934,57531
Todd,21284,48934,57531
Traverse,21284,48934,57531
Wabasha,21995,50165,58762
Wadena,21284,48934,57531
Waseca,21284,48934,57531
Washington,24867,54472,63069
Watonwan,21284,48934,57531
Wilkin,21284,48934,57531
Winona,21503,49385,57983
Wright,24867,54472,63069
Yellow Medicine,21284,48934,57531
