Alamance,23807,49249,56347
Alexander,22576,47088,54187
Alleghany,21851,46569,53667
Anson,22138,46569,53667
Ashe,21455,46569,53667
Avery,22494,47963,55062
Beaufort,22138,46569,53667
Bertie,22138,46569,53667
Bladen,21455,46569,53667
Brunswick,24860,49864,56962
Buncombe,24586,49974,57072
Burke,22576,47088,54187
Cabarrus,24504,50192,57291
Caldwell,22576,47088,54187
Camden,26090,51642,58740
Carteret,23902,48989,56087
Caswell,21988,46569,53667
Catawba,22576,47088,54187
Chatham,24600,51163,58261
Cherokee,22138,46569,53667
Chowan,22289,46746,53845
Clay,22836,47403,54501
Cleveland,22193,46623,53722
Columbus,21291,46569,53667
Craven,23355,49112,56210
Cumberland,24121,49180,56279
Currituck,27663,53242,60340
Dare,24012,50001,57099
Davidson,22056,46623,53722
Davie,23055,48087,55185
Duplin,22138,46569,53667
Durham,24600,51163,58261
Edgecombe,22891,47950,55048
Forsyth,23055,48087,55185
Franklin,24395,51368,58467
Gaston,24504,50192,57291
Gates,22138,46569,53667
Graham,21455,46569,53667
Granville,22918,48538,55636
Greene,21455,46569,53667
Guilford,22795,48223,55322
Halifax,22371,46842,53940
Harnett,22056,47375,54474
Haywood,22385,47991,55089
Henderson,24586,49974,57072
Hertford,21701,46897,53995
Hoke,21838,47088,54187
Hyde,24504,49673,56771
Iredell,24217,49071,56169
Jackson,22138,46569,53667
Johnston,24395,51368,58467
Jones,21728,46938,54036
Lee,22918,47499,54597
Lenoir,21250,46993,54091
Lincoln,22603,47334,54433
Macon,22234,47731,54829
Madison,24586,49974,57072
Martin,21988,46569,53667
McDowell,21715,46569,53667
Mecklenburg,24504,50192,57291
Mitchell,21988,46569,53667
Montgomery,22043,46569,53667
Moore,22508,47006,54105
Nash,22891,47950,55048
New Hanover,24531,50302,57400
Northampton,21455,46569,53667
Onslow,23943,48893,55992
Orange,24600,51163,58261
Pamlico,22015,46569,53667
Pasquotank,23328,49085,56183
Pender,22986,47594,54693
Perquimans,22945,48565,55663
Person,20976,47034,54132
Pitt,23396,48592,55691
Polk,22781,48346,55445
Randolph,22795,48223,55322
Richmond,22029,46569,53667
Robeson,21455,46569,53667
Rockingham,21455,46569,53667
Rowan,22412,47348,54446
Rutherford,22138,46569,53667
Sampson,21400,46569,53667
Scotland,21468,46596,53694
Stanly,20689,46569,53667
Stokes,23055,48087,55185
Surry,22056,46569,53667
Swain,21920,46569,53667
Transylvania,22275,46733,53831
Tyrrell,21988,46569,53667
Union,24504,50192,57291
Vance,20826,46569,53667
Wake,24395,51368,58467
Warren,20457,46569,53667
Washington,22850,47635,54734
Watauga,22590,49919,57017
Wayne,21756,46965,54064
Wilkes,22138,46569,53667
Wilson,23533,48319,55417
Yadkin,23055,48087,55185
Yancey,21783,47020,54118
