Adams,21581,48599,57064
Ashland,22141,48599,57064
Barron,22182,48599,57064
Bayfield,21786,48887,57351
Brown,21663,49379,57843
Buffalo,21759,48846,57310
Burnett,21581,48599,57064
Calumet,21499,49242,57706
Chippewa,21909,49898,58363
Clark,21307,48599,57064
Columbia,22032,50090,58554
Crawford,22169,48599,57064
Dane,24384,52469,60933
Dodge,22893,49611,58075
Door,21882,49023,57487
Douglas,22292,49830,58294
Dunn,22005,49215,57679
Eau Claire,21909,49898,58363
Florence,21813,48928,57392
Fond du Lac,22278,49557,58021
Forest,21458,48599,57064
Grant,22237,48599,57064
Green,22032,48859,57323
Green Lake,21581,48599,57064
Iowa,22347,49379,57843
Iron,21581,48599,57064
Jackson,21581,48599,57064
Jefferson,22073,50158,58622
Juneau,21594,48613,57077
Kenosha,22907,51457,59921
Kewaunee,21663,49379,57843
La Crosse,22237,50418,58882
Lafayette,21089,48599,57064
Langlade,22141,48599,57064
Lincoln,21581,48599,57064
Manitowoc,21089,48599,57064
Marathon,21430,49146,57610
Marinette,21581,48599,57064
Marquette,21950,49119,57583
Menominee,21581,48599,57064
Milwaukee,23591,51963,60427
Monroe,22538,49981,58445
Oconto,22552,48599,57064
Oneida,21759,49215,57679
Outagamie,21499,49242,57706
Ozaukee,23591,51963,60427
Pepin,21089,48599,57064
Pierce,24739,54137,62601
Polk,21800,49721,58185
Portage,21759,49051,57515
Price,21581,48599,57064
Racine,22552,49898,58363
Richland,21089,48599,57064
Rock,22360,49775,58239
Rusk,21143,48599,57064
Sauk,23112,49857,58322
Sawyer,21868,49816,58281
Shawano,22374,48599,57064
Sheboygan,21307,48941,57405
St. Croix,24739,54137,62601
Taylor,21417,48599,57064
Trempealeau,21581,48599,57064
Vernon,21526,48599,57064
Vilas,21731,48805,57269
Walworth,22538,50733,59197
Washburn,22483,49064,57528
Washington,23591,51963,60427
Waukesha,23591,51963,60427
Waupaca,22634,48599,57064
Waushara,21581,48599,57064
Winnebago,22839,49570,58034
Wood,22018,48928,57392
